[2026-09-11T17:14:12.261Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (4ms, 359049B)
[2026-09-11T17:14:12.272Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (275ms, 1414B)
[2026-09-11T17:14:12.595Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (257ms, 48982B)
[2026-09-11T17:14:12.595Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (235ms, 31466B)
[2026-09-11T17:14:59.134Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (1ms, 359315B)
[2026-09-11T17:14:59.140Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (6ms, -698B)
[2026-09-11T17:14:59.153Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -814B)
[2026-09-11T17:14:59.153Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-09-11T17:19:53.872Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (?ms, 361218B)
[2026-09-11T17:19:53.877Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (6ms, -698B)
[2026-09-11T17:19:53.893Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-09-11T17:19:53.893Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (1ms, -814B)
[2026-09-11T17:20:38.345Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (1ms, 361521B)
[2026-09-11T17:20:38.349Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (4ms, -698B)
[2026-09-11T17:20:38.363Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-09-11T17:20:38.363Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-09-11T17:22:43.651Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (?ms, 364015B)
[2026-09-11T17:22:43.654Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (5ms, -698B)
[2026-09-11T17:22:43.669Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-09-11T17:22:43.669Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-09-11T17:28:09.376Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (1ms, 366715B)
[2026-09-11T17:28:09.382Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (5ms, -698B)
[2026-09-11T17:28:09.400Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-09-11T17:28:09.400Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-09-11T17:30:15.446Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (1ms, 375184B)
[2026-09-11T17:30:15.465Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (6ms, -698B)
[2026-09-11T17:30:15.489Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-09-11T17:30:15.489Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-09-11T17:30:38.253Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (1ms, 375458B)
[2026-09-11T17:30:38.257Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (4ms, -698B)
[2026-09-11T17:30:38.270Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-09-11T17:30:38.270Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-09-11T17:30:53.935Z] GET file:///Users/Victor/Documents/Whirlpool/index.html → 200 (?ms, 375458B)
[2026-09-11T17:30:53.939Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap → 200 (5ms, -698B)
[2026-09-11T17:30:53.951Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -814B)
